排名,搜索词,搜索人气,相关搜索词数,点击率,点击人气,支付转化率,直通车参考价,日期：20170531,日期：20170601,日期：20170602,日期：20170603,日期：20170604,日期：20170605,日期：20170606
39,松紧带,3840,48,1.3093,2733,0.0611,1.09,37,38,39,44,42,37,39
40,牛仔裙,3504,44,1.1435,2286,0.0295,1.21,49,41,41,32,36,27,40
41,花苞,3093,40,1.818,2249,0.0555,0.6,48,42,26,27,41,48,41
42,衣,2987,51,1.7945,2289,0.0687,0.51,40,44,44,45,49,46,42
43,拉链,2977,48,1.3217,1928,0.0297,0.88,45,40,46,48,46,49,43
44,外套,2930,14,1.2984,1815,0.0209,0.54,209,96,198,91,78,93,44
45,飘带,2847,30,1.0963,2149,0.0378,1.05,47,47,50,39,47,33,45
46,玫瑰花,2842,32,1.2076,1985,0.0427,1.21,46,43,49,46,45,45,46
47,铆钉,2601,29,1.6521,2095,0.03,1,51,45,47,47,50,54,47
48,官网,2598,24,1.1469,1275,0.0157,0.39,42,60,65,43,60,40,48
49,腰带,2527,40,1.4952,1947,0.0377,1.03,53,56,52,50,53,47,49
50,新品,2495,39,1.8255,2156,0.0448,0.26,68,51,53,56,52,51,50
51,衣服,2281,25,1.2055,1275,0.0039,0.32,50,48,43,62,54,50,51
52,猫,2259,16,3.8791,1950,0.0271,0.15,72,85,78,66,94,60,52
53,灯笼裤,2214,26,0.894,1394,0.031,0.76,56,55,59,61,55,55,53
54,裤腿,2187,34,0.7316,1056,0.0363,0.43,55,61,54,51,44,61,54
55,t恤,2017,27,1.5842,1618,0.0138,1.21,44,57,57,53,48,66,55
56,彩带,2006,18,0.9295,1348,0.029,0.27,66,71,70,64,66,70,56
57,小象,1920,17,1.0526,976,0.0814,0.64,85,75,102,89,63,85,57
58,网袜,1882,38,1.1128,1342,0.0438,0.49,41,53,48,42,43,44,58
59,衣橱,1868,14,1.6126,1219,0.0378,0.77,71,79,132,80,51,79,59
60,盘,1838,17,1.006,1045,0.0158,0,58,65,55,59,59,59,60
61,口袋,1773,30,1.1537,1342,0.0219,0.21,57,62,60,58,57,62,61
62,裙,1759,27,0.8986,1060,0.0309,1.21,52,46,51,52,58,56,62
63,牛仔衣,1669,7,1.4253,1281,0.0195,0.64,82,67,72,70,156,78,63
64,连衣裙,1657,17,1.9469,1281,0.0234,0.8,86,78,58,54,76,71,64
65,肉,1633,20,1.2039,1011,0.0829,0.52,65,52,64,49,65,64,65
66,灯笼,1618,16,1.0097,1090,0.0396,0.92,43,73,79,68,69,77,66
67,上衣,1585,17,1.3738,1045,0.0263,1.36,79,63,45,55,77,63,67
68,丝,1484,11,2.1221,1226,0.0042,2.53,127,141,115,113,125,121,68
69,蛋挞,1398,3,1.5403,854,0.0352,0.38,,276,206,241,357,65,69
70,珍珠,1342,15,1.5435,1056,0.0155,0.57,67,68,76,69,72,72,70
71,工装裤,1315,5,1.5594,987,0.0057,0.56,75,70,62,147,88,75,71
72,叉,1298,15,0.46,526,0.0139,0.56,59,58,71,74,74,68,72
73,罗卜,1292,9,0.9533,912,0.0128,0.77,203,194,80,151,168,160,73
74,糖,1247,5,3.584,1195,0.0519,0.05,,181,137,160,160,134,74
75,半身裙,1237,17,1.4603,1090,0.0248,1.82,69,104,98,63,71,52,75
76,扣,1230,18,1.1202,763,0.0165,0.55,94,72,94,78,83,87,76
77,匣子,1230,8,1.5989,991,0.0341,0,76,76,82,75,75,94,77
78,套,1212,13,1.4136,952,0.0241,0.74,97,99,73,60,92,32,78
79,枪,1212,2,3.6729,895,0.0066,0.48,,277,139,,,279,79
80,带子,1195,9,0.8934,745,0.0684,0.58,100,98,131,92,132,126,80
81,爆米花,1163,2,5.3125,1086,0.0348,0,78,,241,221,289,,81
82,天丝棉,1148,4,0.9525,652,0,0.91,103,167,100,165,108,84,82
83,鸟儿,1148,2,0.249,471,0,0,163,,186,,101,,83
84,萝卜,1130,8,1.7363,862,0.0069,0.77,87,82,92,84,79,81,84
85,柏,1083,12,1.8916,833,0.0365,0,83,84,95,85,93,100,85
86,裤头,1068,15,0.5988,588,0.0119,0,63,49,66,72,68,74,86
87,工装,1068,13,2.011,815,0.0226,0.48,81,77,77,86,40,73,87
88,超短裙,1018,8,1.2344,642,0.0105,0.22,116,90,89,65,64,57,88
89,纽扣,979,15,1.2526,583,0.0843,0.83,107,97,117,121,123,142,89
90,轮,960,6,0.9647,613,0.0112,0,98,93,96,90,85,90,90
91,布,948,16,0.7683,568,0.0375,0.78,54,59,61,71,56,58,91
92,米,940,15,2.3658,767,0.0574,0,73,83,86,97,87,89,92
93,糖果,928,3,1.4067,708,0.1193,0.45,112,157,158,216,157,222,93
94,烟灰,891,13,1.3009,628,0.087,0.56,108,110,101,135,121,130,94
95,小鹿,862,5,2.2709,676,0.1176,0.85,77,86,103,88,103,98,95
96,蜜糖,841,1,1.2592,466,0.0328,1.24,62,240,85,123,73,80,96
97,衬衫,841,10,3.0183,685,0.0769,0,121,105,114,103,143,82,97
98,筒裤,841,9,1.0927,557,0,0.93,111,126,122,82,95,83,98
99,木,828,4,0.7315,279,0.0323,0.52,155,122,156,122,131,161,99
100,短裙,820,8,1.3392,623,0.033,0.59,74,64,69,67,80,69,100
101,服装,820,5,1.1462,520,0.0141,0,104,102,179,100,114,236,101
102,磁,815,8,0.6324,466,0.0164,0,106,92,104,104,81,97,102
103,铁环,798,12,0.6745,471,0,0.05,120,81,81,77,96,110,103
104,包,785,5,0.6889,313,0,0.71,190,166,173,112,197,186,104
105,金,772,7,1.3457,542,0.04,0,113,115,130,120,67,131,105
106,卷,763,10,0.9079,389,0,0.25,123,114,105,93,106,119,106
107,白百合,758,4,0.9366,578,0.0244,0,168,94,170,150,102,88,107
108,蜜,754,10,1.4028,536,0.1216,0.26,135,149,128,115,144,150,108
109,珠,736,2,0.7968,542,0,0.54,138,129,120,170,99,143,109
110,丝带,731,9,1.1853,477,0.0317,0,95,136,133,130,107,96,110
111,牛仔服,722,3,1.7106,504,0.0147,0.52,,201,296,223,252,259,111
112,橡筋,708,8,1.38,488,0.0154,1.16,88,121,99,116,89,105,112
113,金属,704,8,0.8694,431,0.0364,0,61,66,74,81,91,103,113
114,橡皮筋,690,6,0.5202,408,0.0196,0,110,107,126,111,115,106,114
115,鞋,681,3,1.4079,471,0.0323,0.52,270,253,174,211,175,174,115
116,神器,676,6,0.7481,346,0.0488,0,162,189,227,167,193,95,116
117,铁,657,5,0.6314,358,0.0233,0.5,105,91,109,107,109,104,117
118,裙子,642,9,1.1828,352,0.0476,0,93,50,84,57,82,76,118
119,蒜泥,637,3,5.3794,583,0.012,0,,165,183,,,153,119
120,娃娃,623,2,0.4033,172,0,0.47,,,335,177,243,268,120
121,光头,618,7,0.7611,346,0,0,159,140,144,118,133,127,121
122,大麦,608,1,3.5578,499,0.0149,0,,,,,,336,122
123,豆,598,4,1.5358,443,0.0175,0.5,90,101,145,108,90,169,123
124,皮裤,593,1,2.2011,510,0,0,,128,172,,,,124
125,鱼,593,8,0.7264,326,0,1.09,174,125,164,143,140,145,125
126,舟,588,6,1.256,466,0.0328,0,139,131,149,138,138,149,126
127,蝴蝶,588,5,3.443,460,0,0.49,194,174,171,156,300,170,127
128,学生装,588,7,0.9271,228,0.0417,0.15,60,160,56,94,128,53,128
129,蜜桃,583,8,1.519,414,0.0385,1.09,101,103,67,109,110,188,129
130,双肩包,583,1,0.7195,333,0,0,,304,,,,,130
131,转角,573,1,6.4489,552,0.0519,0,,244,,,312,231,131
132,时装,573,4,3.4216,326,0.0526,0,154,262,83,96,180,156,132
133,挂件,568,4,0.764,279,0.0323,0.25,310,315,225,312,235,206,133
134,水钻,568,7,0.9794,414,0,0.37,119,116,112,114,113,117,134
135,帆布鞋,568,1,0.9456,449,0.0517,1.74,,,,,,,135
136,睡裙,552,3,1.202,477,0.0317,0,271,,234,296,310,291,136
137,磨毛,547,4,1.0606,326,0,0.68,118,113,118,99,116,113,137
138,丝袜,547,5,1.1063,333,0.0256,0,131,134,177,164,151,151,138
139,雪梨,536,5,1.4853,389,0,0,96,120,135,141,105,132,139
140,草莓,531,4,2.3761,377,0.0652,0.23,180,54,129,105,163,238,140
141,纱,526,5,0.5675,333,0,0,92,80,87,79,70,141,141
142,百合,520,1,1.6453,358,0.0233,0,243,,323,324,225,172,142
143,石,510,3,0.3629,119,0,0,,,327,,195,,143
144,小雏菊,504,4,0.985,339,0.075,0.22,124,112,123,127,118,114,144
145,簿,504,3,0.4864,250,0,0,115,124,119,157,122,112,145
146,牛奶,504,5,0.8938,172,0.1176,0,,148,150,134,98,340,146
147,羊,504,4,2.4601,383,0.0851,0,164,147,157,168,170,168,147
148,菠萝,499,5,1.3466,358,0.0465,0.18,144,211,272,171,181,191,148
149,牛仔布,499,6,1.3043,243,0,0.17,117,108,143,131,126,136,149
150,凉鞋,499,1,1.1657,358,0.0233,0.52,,,,,221,195,150
151,笛,499,3,2,286,0.0938,0,146,117,142,146,147,138,151
152,精品,493,6,0.8571,243,0,0,114,106,116,184,159,101,152
153,皮带,488,6,0.7871,243,0,1.35,122,130,151,136,169,171,153
154,长裙,466,1,1.7626,402,0.02,0.55,210,118,138,110,129,125,154
155,蚂蚁,460,1,3.8344,313,0.0833,0.09,288,,,,,,155
156,工具,460,3,0.5068,258,0.0357,0,216,172,210,140,,144,156
157,蝈蝈,460,6,1.608,272,0,0,132,235,182,117,135,164,157
158,马,454,4,1.1275,320,0.0811,0,148,109,141,126,130,155,158
159,蜂巢,449,3,0.951,300,0,0,137,177,147,128,146,139,159
160,扣子,449,7,0.9385,243,0.0385,0.66,143,164,125,145,136,179,160
161,绳子,443,4,0.4627,181,0,0,167,146,192,229,177,245,161
162,铅,443,3,0.0649,35,0,0,125,193,155,273,199,107,162
163,少女装,437,3,0.4327,129,0.0833,0,153,143,108,73,161,118,163
164,夜市,431,5,0.5571,213,0,0.05,64,232,121,142,248,67,164
165,背袋,431,4,1.178,293,0.0303,0,184,163,148,144,166,294,165
166,龟,425,2,3.2721,293,0,0,165,288,244,195,176,152,166
167,荷叶,419,6,1.1545,265,0,0.24,,155,219,190,192,140,167
168,笔,414,4,0.3333,80,0.1429,0,149,133,127,187,111,202,168
169,短装,396,4,0.3443,129,0,0,145,202,68,133,150,159,169
170,芥茉,389,1,2.5596,358,0.0465,0,,,,,,,170
171,兔,389,2,2.9171,300,0.0294,0.15,147,111,159,129,141,173,171
172,金币,383,1,1.8939,258,0,0,,158,162,158,185,184,172
173,鱼尾,383,4,0.8986,228,0,0.25,189,144,176,194,117,180,173
174,蘑菇,383,5,1.0779,265,0,0,128,152,163,132,124,146,174
175,皮筋,377,5,0.9085,197,0.05,0,173,127,181,188,214,148,175
176,低腰裤,371,3,1.6579,228,0.0417,0,152,123,140,83,112,108,176
177,零食,371,1,0.3205,58,0,0,,,,,,189,177
178,菜头,371,1,4.3041,352,0.0476,0,158,,,,345,,178
179,烟,371,4,1.598,155,0.0667,0,200,215,228,207,203,91,179
180,秋装,365,5,0.5969,189,0.0526,0.42,140,74,124,102,100,102,180
181,酱,352,3,2.5676,236,0.04,0,177,156,308,76,162,230,181
182,袜,346,2,1.7429,286,0,0,178,187,231,193,200,193,182
183,巴士,339,1,2.6832,333,0,0,,227,165,,172,212,183
184,女包,333,2,1.7561,189,0,0,175,,236,330,293,232,184
185,巧克力,333,2,1.7661,197,0,0,,200,295,327,257,355,185
186,箱子,326,3,2.4312,236,0.04,0,130,151,134,124,153,124,186
187,网眼,320,4,1.094,220,0.0435,0,172,137,161,206,190,214,187
188,喇叭口,313,2,0.7838,181,0,0,192,197,194,166,187,187,188
189,纱裙,313,4,1.0616,265,0.069,0,141,142,169,139,148,157,189
190,衣柜,313,3,1.6636,189,0.1579,0,150,190,325,248,322,205,190
191,比基尼,313,1,1.9763,228,0.0417,0,231,295,235,308,228,237,191
192,挂饰,306,3,1.3636,228,0.0833,0,199,213,320,342,281,293,192
193,格木,300,1,6.3876,286,0.25,0,258,,267,315,271,274,193
194,桶,300,3,0.8934,181,0,0,,212,304,339,167,167,194
195,衣衫,300,1,6.5169,243,0,0.4,,,196,,,,195
196,腰封,293,3,1.4207,197,0,0,259,291,289,235,223,217,196
197,琴,286,2,1.4419,220,0,0,198,,224,311,196,299,197
198,针,286,3,1.4259,220,0.087,0.41,182,176,211,155,182,185,198
199,三角裤,272,2,2.6789,164,0,0.21,237,,209,,241,244,199
200,鸟,272,4,0.9778,197,0,0,134,192,180,200,134,183,200
201,麟,272,2,1.1356,164,0.0625,0,240,274,339,175,189,286,201
202,徽章,265,3,1.0201,189,0,0.4,202,87,258,304,215,242,202
203,丁字裤,265,2,1.52,155,0,0,197,183,107,201,216,229,203
204,运动裤,258,1,1.2674,164,0,0.45,183,161,110,125,120,123,204
205,翻车鱼,250,1,0.3729,69,0,0,,,,271,,209,205
206,鞋子,250,3,0.6842,100,0,0,89,305,260,161,127,211,206
207,卡,250,1,1.2836,213,0.0909,0,84,260,230,326,222,86,207
208,油漆,243,1,1.9828,189,0.0526,0,187,207,203,149,179,215,208
209,狐狸,236,2,4.0235,181,0,0,308,224,330,,326,,209
210,管,236,2,1.2222,197,0,0,,,193,,311,,210
211,成衣,220,1,3.9663,164,0.0625,0.18,129,184,250,197,173,178,211
212,手表,220,1,0.4265,110,0,0,,,,,,354,212
213,肩带,213,3,0.693,129,0,0.41,201,139,178,159,164,135,213
214,猫咪,213,3,1.2955,129,0.0833,0.17,179,154,274,186,152,197,214
215,露脐装,205,1,1.5897,164,0,0,,225,247,210,,227,215
216,棉花,205,2,2.9623,172,0,0,,222,242,347,349,,216
217,西裤,205,1,0.907,129,0.0833,0.83,171,259,279,162,210,,217
218,桃子,205,1,5.2174,197,0.05,0,204,269,213,215,239,224,218
219,杯子,205,1,0.8592,164,0,0,,,,,,,219
220,旗,205,2,1.675,164,0.25,0,213,270,214,174,269,280,220
221,三纹鱼,205,1,0.7931,110,0,0,248,238,262,243,233,281,221
222,兔子,197,2,1.3689,164,0,0,265,179,,189,260,207,222
223,蓬蓬裙,197,1,3,197,0,0,280,,294,,,194,223
224,羽毛,197,2,1.4225,147,0.0714,0,332,,,,,,224
225,阶梯,189,3,2.2967,138,0,0,323,250,348,,350,352,225
226,线条,172,2,0.35,58,0,0,316,317,218,254,335,344,226
227,炮,172,2,0.6812,129,0.3333,0,,320,,,,,227
228,盆,172,1,0.5517,35,0,0,,,,,,,228
229,针织衫,172,2,0.7609,90,0,0,,,,,,198,229
230,休闲鞋,172,1,2.7895,172,0,0,,,,,,,230
231,鞋带,164,2,0.3636,69,0,0,,,263,212,240,255,231
232,向日葵,164,2,0.8049,90,0.125,0,151,150,199,219,145,147,232
233,鹏,164,2,0.3077,69,0,0,278,,201,265,178,301,233
234,水牛,164,1,1.9375,155,0,0,186,159,195,176,191,200,234
235,芯,164,2,2.92,110,0.1,0,241,171,252,204,238,317,235
236,猪,164,2,1.2162,90,0,0,225,,,,204,220,236
237,睡衣,164,1,0.1429,10,0,0,196,216,,291,137,252,237
238,筒,164,1,2,119,0,0,,308,212,214,291,295,238
239,桃,155,2,1.8485,119,0,0,289,220,190,313,246,208,239
240,套裤,155,1,2.2121,69,0,0,,,,,,,240
241,tv,155,2,0.4643,58,0,0,315,233,305,,,270,241
242,番茄,155,2,1.3671,138,0.0769,0,133,162,188,137,202,201,242
243,包子,155,1,2.2414,23,0,0,109,,,101,,,243
244,绳,155,2,0.3793,58,0,0,,169,229,154,315,181,244
245,狸,155,2,1.8485,119,0,0,295,221,187,321,251,210,245
246,双杠,155,2,1.0169,110,0.2,0,322,325,259,238,262,351,246
247,键,155,1,0.9623,119,0,0,222,,271,,205,,247
248,绵羊,155,1,0.2286,23,0,0,,,,,,,248
249,衬衣,155,2,0.8421,69,0.3333,0,,119,154,87,353,277,249
250,拖鞋,155,1,0.6744,80,0,0,,,,,,,250
251,象,147,2,1.2826,110,0.1,0,,,336,,279,316,251
252,纱网,147,2,0.7455,100,0,0,220,168,191,173,183,219,252
253,西装,147,2,1.3143,69,0,0.4,170,326,205,268,184,243,253
254,鸡腿,147,1,1.3243,58,0,0,,287,276,276,265,258,254
255,可可,147,2,0.7442,90,0.125,0,102,278,160,153,97,182,255
256,t恤衫,138,1,1.0227,80,0,0.69,,191,,,,330,256
257,警犬,138,1,0.2632,35,0,0,,297,,179,212,261,257
258,链条,138,2,0.8,80,0,0.15,227,219,246,334,328,334,258
259,卫衣,138,2,2.5909,47,0,0.21,,231,111,252,314,,259
260,密柚,138,1,1.3793,69,0.1667,0,,,290,,,,260
261,漆,138,1,1.08,80,0.1429,0,275,284,292,257,348,276,261
262,画,138,1,1.4444,47,0,0.59,327,182,,226,,,262
263,糯米,138,1,4.8182,119,0.0909,0,,178,136,259,,,263
264,小墨鱼,129,1,1.1765,69,0,0,226,241,266,208,218,260,264
265,牛筋,129,1,0.2,58,0,0,181,185,216,283,188,233,265
266,钻石,129,2,2,100,0,0,,,,,236,343,266
267,卷子,129,1,3.4595,90,0.125,0,,188,88,,,,267
268,豆子,129,1,2.7308,90,0,0,,,249,,,,268
269,布丁,119,1,0.7308,58,0,0,239,271,175,196,220,284,269
270,袋,119,1,0.6731,90,0,0,,173,197,209,249,,270
271,包包,119,1,0.2,35,0,0,157,,268,228,119,175,271
272,丝网,119,1,0.5455,58,0,0,,292,291,230,283,289,272
273,魔豆,119,1,4.037,110,0,0,299,,,,320,271,273
274,刀,110,1,1,47,0,0,249,296,264,245,253,253,274
275,菊花,110,1,1.0417,47,0,0,224,239,317,203,208,226,275
276,驹,110,1,2.2,90,0.25,0,266,282,273,253,299,304,276
277,柚子,110,1,2.0455,58,0,0,,268,,213,104,92,277
278,螃蟹,110,1,5.2609,90,0,0,,,344,,343,,278
279,纸袋,110,1,1.4324,80,0,0,,,,,,115,279
280,衣裤,110,1,3.9091,110,0,0,321,303,253,267,250,109,280
281,锥,110,1,0.8222,35,0,0.12,,,,322,305,307,281
282,本,110,1,0.125,23,0,0,91,258,90,,351,221,282
283,制品,110,1,3.7391,90,0,0,,307,,,,,283
284,内衣,110,1,2.087,58,0,0,,132,,,355,204,284
285,嗽叭,110,1,0.4412,69,0,0,269,328,281,352,211,213,285
286,小白菜,100,1,1.24,47,0,0,,,,,,,286
287,鸡,100,1,0.7647,23,0,0,,279,245,310,242,120,287
288,瑟,100,1,1.36,47,0,0,233,,238,285,62,273,288
289,冬装,100,1,0.6364,23,0,0.1,,300,318,,,241,289
290,黑牡丹,100,1,3.4737,69,0,0,268,198,342,272,272,218,290
291,高跟鞋,100,1,0.1739,23,0,0,,,,288,,,291
292,狗,100,1,0.3529,23,0,0,176,,,,207,348,292
293,茶,100,1,2.45,90,0,0,324,,,292,263,133,293
294,门,90,1,0.2424,35,0,0,,,256,278,,,294
295,内裤,90,1,0.1111,10,0,0,,,189,309,,,295
296,球,90,1,0.2727,23,0,0,,,,299,,,296
297,丸子,90,1,1.5714,23,0,0,,,,,,262,297
298,喷漆,90,1,0.5556,47,0,0,307,314,299,246,277,256,298
299,情侣装,90,1,0.4706,35,0,0,263,245,331,106,,240,299
300,屏,90,1,4.4,80,0.2857,0,290,,,,,,300
301,男装,90,1,0.0769,10,0,0,,,302,,229,192,301
302,炭,90,1,0.65,35,0,0,274,319,306,236,337,345,302
303,水桶,90,1,0.3684,35,0,0,242,322,345,274,304,320,303
304,银,90,1,0.0435,10,0,0,,,,,,,304
305,口红,90,1,0.7,58,0,0,,,75,,,190,305
306,蔷薇,90,1,1.9524,80,0,0,328,,,,,,306
307,果子,90,1,2.8889,23,0,0,223,226,,182,,,307
308,玉,90,1,1.3571,90,0,0,302,311,352,260,227,327,308
309,韩剧,90,1,4.05,23,0,0,,,,232,356,,309
310,旗袍,90,1,1.6598,80,0,0.31,,,,,,,310
311,老粗布,90,1,11.0968,80,0.1429,0,,,,,,,311
312,布条,90,1,0.0909,10,0,0,,,,,,,312
313,链子,80,1,0.5938,47,0,0,,210,265,300,324,,313
314,玉米,80,1,4.9286,80,0,0,256,218,285,,234,311,314
315,燕子,80,1,0.8667,58,0,0,205,,,264,313,282,315
316,木马,80,1,2.0833,35,0,0,,,,,,,316
317,桐,80,1,1.7857,47,0,0,217,298,334,336,171,267,317
318,月牙,80,1,1.0625,35,0,0,,,,284,,,318
319,南瓜,80,1,2.1429,69,0,0,,316,303,,333,303,319
320,春秋装,80,1,0.8293,80,0,0.99,229,,,,,,320
321,弹头,80,1,1.0625,69,0.3333,0,,,,,,,321
322,夹克,80,1,0.45,35,0,0,,,243,,,,322
323,眼镜,80,1,2.2143,35,0,0,,,,,,,323
324,腰包,80,1,0.5,35,0,0,,,,,,,324
325,仙人掌,80,1,0.95,35,0.3333,0,,,297,,323,,325
326,吐司,69,1,0.75,58,0,0,,254,314,,,,326
327,字库,69,1,1.2857,10,0,0,,,,,295,,327
328,tee,69,1,0,0,0,0,,,,,,,328
329,丸,69,1,0.7143,35,0.3333,0,161,230,63,,86,,329
330,尺,69,1,0.381,23,0,0,245,,332,,,313,330
331,棉布,69,1,1.8,23,0,0,,138,152,192,330,,331
332,芭蕾,69,1,1.8043,58,0,0.15,312,280,239,314,247,302,332
333,大花,69,1,0.1905,35,0,0,,,217,,,,333
334,表,69,1,1.0714,58,1,0,,,,,,,334
335,衫,69,1,1.2667,35,0.3333,0,214,69,,185,259,,335
336,工作装,69,1,0.25,23,0,0,,,,,,,336
337,钮,69,1,1.3333,35,0,0,,,,,,,337
338,铃,69,1,0.6538,47,0,0,,,321,237,,,338
339,化妆品,69,1,0.7647,47,0,0,,248,,,,251,339
340,蛙,69,1,2.5484,58,0,0,,323,,,,,340
341,棚,69,1,0.6875,35,0,0,,,,,,,341
342,瓷,69,1,0.1429,10,0,0,,,,,,,342
343,校服,69,1,0.2,10,0,0,,,,,,,343
344,贝,69,1,0.4167,47,0,0,169,236,207,181,174,306,344
345,西瓜,69,1,2.0667,35,0,0,,,,,,308,345
346,珠子,69,1,0.3571,23,0,0,254,,350,349,256,325,346
347,挂带,69,1,0.2308,23,0,0,,,255,,,,347
348,桔子,69,1,0.5455,10,0,0,,261,351,307,,,348
349,内衬,69,1,1.8333,35,0,0,,,353,353,309,,349
350,气眼,69,1,1.3462,69,0.1667,0,,,,,358,,350
351,面包圈,69,1,3.7059,69,0.1667,0,285,,,,,292,351
352,裤带,69,1,0.4737,35,0,0,255,329,313,263,,359,352
353,燕,69,1,0.7143,47,0,0,,,,,,,353
354,柚,69,1,1.5385,35,0,0,136,237,222,242,194,163,354
